labelKey|English|French|Germany|Italy|Spain|Portugal|Japan|Korea|China|Taiwan|Russia|Indonesia
txtShareContent|I'm playing 2248 Hexa!|Je joue 2248 Hexa!|Ich spiele 2248 Hexa!|Sto giocando 2248 Hexa!|Estoy jugando 2248 Hexa!|Eu estou jogando 2248 Hexa!|私は2248 Hexaを演奏しています！|나는 2248 Hexa을 놀고있어!|我在玩2248六边形!其乐无穷!|我在玩2248六邊形!其樂無窮!|Я играю 2248 Hexa!|Saya bermain 2248 Hexa!
txtName|2248 Hexa!|2248 Hexa!|2248 Hexa!|2248 Hexa!|2248 Hexa!|2248 Hexa!|2248 Hexa!|2248 Hexa!|2248六边形!|2248六邊形!|2248 Hexa!|2248 Hexa!
txtPass0|UNBELIEVABLE!|INCROYABLE!|NICHT ZU FASSEN!|INCREDIBILE!|¡INCREÍBLE!|INACREDITÁVEL!|信じられない！|믿을 수 없는!|不可思议!|不可思議!|НЕВЕРОЯТНОЕ!|LUAR BIASA!
txtPass1|EXCELLENT!|EXCELLENT!|AUSGEZEICHNET!|ECCELLENTE!|¡EXCELENTE!|EXCELENTE!|優れた！|우수한!|666!|666!|ОТЛИЧНО!|SANGAT BAIK!
txtPass2|AWESOME!|IMPRESSIONNANT!|GENIAL!|ECCEZIONALE!|¡MARAVILLOSO!|IMPRESSIONANTE!|驚くばかり！|굉장해!|这也太秀了吧!|這也太秀了吧!|ЗДОРОВО!|AWESOME!
txtPass3|GREAT!|GÉNIAL!|GROSS!|GRANDE!|¡ESTUPENDO!|ÓTIMO!|すばらしいです！|큰!|不错!|不錯!|ВЕЛИКИЙ!|BESAR!
txtTotalScore|TOTAL SCORE|SCORE TOTAL|GESAMTPUNKTZAHL|PUNTEGGIO TOTALE|PUNTAJE TOTAL|PONTUAÇÃO TOTAL|合計スコア|총 점수|总分|總分|ОБЩИЙ СЧЕТ|SKOR TOTAL
txtTime|TIME|TEMPS|ZEIT|TEMPO|HORA|TEMPO|時間|시각|时间|時間|ВРЕМЯ|WAKTU
txtBest|BEST|MEILLEUR|BESTE|MIGLIORE|MEJOR|MELHOR|ベスト|베스트|最佳|最佳|ЛУЧШИЙ|TERBAIK
txtNotification0|I think now is the time to play 2248 Hexa!|Je pense que c'est le moment de jouer 2248 Hexa!|Ich denke jetzt ist die Zeit zu spielen 2248 Hexa!|Penso ora sia il momento di giocare 2248 Hexa!|Creo que ahora es el momento de jugar 2248 Hexa!|Eu acho que agora é a hora de jogar 2248 Hexa!|今私は2248 Hexa年を演奏する時だと思います！|나는 지금 2248 Hexa 년을 할 시간이라고 생각한다!|快来2248六边形刷新你的新纪录!|快來2248六邊形刷新你的新紀錄!|настало время сыграть 2248 Hexa!|Ini adalah waktu untuk bermain 2248 Hexa!
txtNotification1|Long day? Let's play 2248 Hexa to relax!|Longue journée? Jouons 2248 Hexa pour vous détendre!|Lass uns 2248 Hexa spielen, um uns zu entspannen!|Lunga giornata? Gioca 2248 Hexa per rilassarsi!|¿Día largo? Vamos a jugar 2248 Hexa para relajarse!|Longo dia? Vamos jogar 2248 Hexa para relaxar!|リラックスするために2248 Hexaをプレイしよう！|긴 하루? 긴장을 풀기 위해 2248 Hexa 놀이하자!|快来2248六边形放松一下吧!|快來2248六邊形放鬆一下吧!|Давайте сыграем 2248 Hexa, чтобы расслабиться!|Mari kita bermain 2248 Hexa untuk bersantai!
txtNotification2|Let's have some fun with 2248 Hexa!|Allons nous amuser avec 2248 Hexa!|Lass uns mit 2248 Hexa Spaß haben!|Facciamo qualche divertimento con 2248 Hexa!|Vamos a divertirnos con 2248 Hexa!|Vamos nos divertir com 2248 Hexa!|2248 Hexaで楽しく過ごしましょう！|2248 Hexa로 재미있게 지내자!|怎么说?玩一手2248六边形!|怎麼說?玩一手2248六邊形!|Давайте повеселимся с 2248 Hexa!|Mari kita bersenang-senang dengan 2248 Hexa!
txtGuide|GUIDE|GUIDER|FÜHREN|GUIDA|GUÍA|GUIA|ガイド|안내서|游戏引导|遊戲引導|РУКОВОДСТВО|PANDUAN
txtPrayRate|Rating it to support us|Notez-le pour nous soutenir|Rating it to support us|Valutarlo per sostenerci|Califícalo para apoyarnos|Avalie-o para nos apoiar|私たちをサポートするために評価|우리를지지하도록 평가 해주세요.|评 价 游 戏|评 价 游 戏|Оцените это, чтобы поддержать нас|Berikan nilai untuk mendukung kita
txtThankRate|Thanks for your rating!|Merci pour votre note!|Danke für deine Bewertung!|Grazie per la tua valutazione!|¡Gracias por su calificación!|Obrigado pela sua avaliação!|あなたの評価に感謝します！|귀하의 평가에 감사드립니다!|感 谢 你 的 支 持 !|感 谢 你 的 支 持 !|Спасибо за ваш рейтинг!|Terima kasih atas penilaian anda!
txtCancel|CANCEL|ANNULER|STORNIEREN|ANNULLA|CANCELAR|CANCELAR|キャンセル|취소|取 消|取 消|ОТМЕНА|MEMBATALKAN
txtRevive|REVIVE|RELANCER|BELEBEN|REVIVE|REANIMAR|REVIVER|回 生|부흥시키다|复 活|复 活|возрождать|REVIVE
